1754604472,07 Aug 25 (23:07),105,"Special Subset Sums: Testing"
1754598319,07 Aug 25 (21:25),104,"Pandigital Fibonacci Ends"
1754499854,06 Aug 25 (18:04),103,"Special Subset Sums: Optimum"
1753014119,20 Jul 25 (13:21),102,"Triangle Containment"
1752958518,19 Jul 25 (21:55),101,"Optimum Polynomial"
1752932631,19 Jul 25 (14:43),96,"Su Doku"
1752932594,19 Jul 25 (14:43),100,"Arranged Probability"
1752932541,19 Jul 25 (14:42),99,"Largest Exponential"
1752930256,19 Jul 25 (14:04),98,"Anagramic Squares"
1752891282,19 Jul 25 (03:14),97,"Large Non-Mersenne Prime"
1752885806,19 Jul 25 (01:43),95,"Amicable Chains"
1752883807,19 Jul 25 (01:10),94,"Almost Equilateral Triangles"
1752881855,19 Jul 25 (00:37),93,"Arithmetic Expressions"
1752872464,18 Jul 25 (22:01),84,"Monopoly Odds"
1752872420,18 Jul 25 (22:00),78,"Coin Partitions"
1752872111,18 Jul 25 (21:55),92,"Square Digit Chains"
1752871405,18 Jul 25 (21:43),91,"Right Triangles with Integer Coordinates"
1752870634,18 Jul 25 (21:30),90,"Cube Digit Pairs"
1752867557,18 Jul 25 (20:39),89,"Roman Numerals"
1752866486,18 Jul 25 (20:21),88,"Product-sum Numbers"
1752864557,18 Jul 25 (19:49),87,"Prime Power Triples"
1752861763,18 Jul 25 (19:02),86,"Cuboid Route"
1752856215,18 Jul 25 (17:30),85,"Counting Rectangles"
1752847809,18 Jul 25 (15:10),83,"Path Sum: Four Ways"
1752844982,18 Jul 25 (14:23),82,"Path Sum: Three Ways"
1752842710,18 Jul 25 (13:45),81,"Path Sum: Two Ways"
1752840137,18 Jul 25 (13:02),80,"Square Root Digital Expansion"
1752827211,18 Jul 25 (09:26),79,"Passcode Derivation"
1752759952,17 Jul 25 (14:45),77,"Prime Summations"
1752738302,17 Jul 25 (08:45),76,"Counting Summations"
1752711231,17 Jul 25 (01:13),75,"Singular Integer Right Triangles"
1752705093,16 Jul 25 (23:31),74,"Digit Factorial Chains"
1752698844,16 Jul 25 (21:47),73,"Counting Fractions in a Range"
1752696420,16 Jul 25 (21:07),72,"Counting Fractions"
1752673312,16 Jul 25 (14:41),71,"Ordered Fractions"
1752666017,16 Jul 25 (12:40),70,"Totient Permutation"
1752656637,16 Jul 25 (10:03),69,"Totient Maximum"
1752575567,15 Jul 25 (11:32),68,"Magic 5-gon Ring"
1584030994,12 Mar 20 (16:36),67,"Maximum Path Sum II"
1584018887,12 Mar 20 (13:14),66,"Diophantine Equation"
1583939423,11 Mar 20 (15:10),65,"Convergents of $e$"
